Date,Team,Player,Relinquished,Notes,EstimatedDaysOut,Year,Month,YearMonth,DurationCategory,InjuryKeyword,EstimatedDaysOutFromNotes,Injury_Start,Injury_End,Actual_Duration_Days,InSeason_Duration_Days,DayOfWeek
10/29/2022,Bucks,A.J. Green,A.J. Green,placed on IL with fractured nose,,2022,October,2022-10,other / unspecified,nose,,10/29/2022,11/16/2022,18,19,Saturday
1/2/2024,Bucks,A.J. Green,A.J. Green,placed on IL with nasal fracture,,2024,January,2024-01,other / unspecified,Other,,10/29/2022,11/16/2022,18,19,Tuesday
3/24/2024,Bucks,A.J. Green,A.J. Green,placed on IL with illness,,2024,March,2024-03,other / unspecified,illness,,10/29/2022,11/16/2022,18,19,Sunday
4/11/2024,Bucks,A.J. Green,A.J. Green,placed on IL with sprained left ankle,,2024,April,2024-04,other / unspecified,ankle,,10/29/2022,11/16/2022,18,19,Thursday
1/2/2025,Bucks,A.J. Green,A.J. Green,placed on IL with lumbar injury,,2025,January,2025-01,other / unspecified,Other,,10/29/2022,11/16/2022,18,19,Thursday
1/21/2025,Bucks,A.J. Green,A.J. Green,placed on IL with strained left quadriceps,,2025,January,2025-01,other / unspecified,quad,,10/29/2022,11/16/2022,18,19,Tuesday
3/30/2025,Bucks,A.J. Green,A.J. Green,placed on IL with shoulder injury,,2025,March,2025-03,other / unspecified,shoulder,,10/29/2022,11/16/2022,18,19,Sunday
11/21/2023,Hawks,A.J. Griffin,A.J. Griffin,placed on IL with illness,,2023,November,2023-11,other / unspecified,illness,,11/21/2023,11/22/2023,1,2,Tuesday
2/12/2024,Hawks,A.J. Griffin,A.J. Griffin,placed on IL with illness,,2024,February,2024-02,other / unspecified,illness,,11/21/2023,11/22/2023,1,2,Monday
3/16/2024,Hawks,A.J. Griffin,A.J. Griffin,placed on IL with lower leg injury,,2024,March,2024-03,other / unspecified,leg,,11/21/2023,11/22/2023,1,2,Saturday
10/26/2016,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2016,October,2016-10,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Wednesday
10/30/2016,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2016,October,2016-10,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Sunday
12/27/2016,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2016,December,2016-12,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Tuesday
1/3/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,January,2017-01,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Tuesday
2/27/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,February,2017-02,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Monday
3/5/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,March,2017-03,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Sunday
3/13/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,March,2017-03,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Monday
3/27/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,March,2017-03,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Monday
3/31/2017,Mavericks,A.J. Hammons,A.J. Hammons,placed on IL,,2017,March,2017-03,other / unspecified,Other,,10/26/2016,10/28/2016,2,3,Friday
10/18/2017,Heat,A.J. Hammons,A.J. Hammons,placed on IL with illness,,2017,October,2017-10,other / unspecified,illness,,10/18/2017,10/21/2017,3,4,Wednesday
11/22/2024,Bucks,A.J. Johnson,A.J. Johnson,placed on IL with Achilles tendinitis,,2024,November,2024-11,other / unspecified,achilles,,11/22/2024,11/26/2024,4,5,Friday
12/25/2024,Bucks,A.J. Johnson,A.J. Johnson,illness (DTD),,2024,December,2024-12,day-to-day,illness,3,11/22/2024,11/26/2024,4,5,Wednesday
11/19/2015,Bulls,Aaron Brooks,Aaron Brooks,strained left hamstring (DTD),,2015,November,2015-11,day-to-day,hamstring,3,11/19/2015,12/2/2015,13,14,Thursday
12/5/2015,Bulls,Aaron Brooks,Aaron Brooks,strained left hamstring (DTD),,2015,December,2015-12,day-to-day,hamstring,3,11/19/2015,12/2/2015,13,14,Saturday
10/24/2016,Pacers,Aaron Brooks,Aaron Brooks,sore knee (DTD),,2016,October,2016-10,day-to-day,knee,3,10/28/2016,11/1/2016,4,5,Monday
10/26/2016,Pacers,Aaron Brooks,Aaron Brooks,sore knee (DTD),,2016,October,2016-10,day-to-day,knee,3,10/28/2016,11/1/2016,4,5,Wednesday
10/28/2016,Pacers,Aaron Brooks,Aaron Brooks,placed on IL with sore knee,,2016,October,2016-10,other / unspecified,knee,,10/28/2016,11/1/2016,4,5,Friday
1/23/2017,Pacers,Aaron Brooks,Aaron Brooks,placed on IL with sore right knee,,2017,January,2017-01,other / unspecified,knee,,10/28/2016,11/1/2016,4,5,Monday
12/27/2017,Timberwolves,Aaron Brooks,Aaron Brooks,placed on IL with illness,,2017,December,2017-12,other / unspecified,illness,,12/27/2017,12/28/2017,1,2,Wednesday
12/8/2015,Magic,Aaron Gordon,Aaron Gordon,ankle injury (DTD),,2015,December,2015-12,day-to-day,ankle,3,12/8/2015,12/9/2015,1,2,Tuesday
4/7/2016,Magic,Aaron Gordon,Aaron Gordon,concussion (DTD),,2016,April,2016-04,day-to-day,concussion,3,12/8/2015,12/9/2015,1,2,Thursday
4/8/2016,Magic,Aaron Gordon,Aaron Gordon,placed on IL with concussion,,2016,April,2016-04,concussion protocol,concussion,7,12/8/2015,12/9/2015,1,2,Friday
2/8/2017,Magic,Aaron Gordon,Aaron Gordon,bone bruise in right foot (DTD),,2017,February,2017-02,day-to-day,foot,3,12/8/2015,12/9/2015,1,2,Wednesday
10/20/2017,Magic,Aaron Gordon,Aaron Gordon,placed on IL with sore left ankle,,2017,October,2017-10,other / unspecified,ankle,,12/8/2015,12/9/2015,1,2,Friday
12/9/2017,Magic,Aaron Gordon,Aaron Gordon,concussion (DTD),,2017,December,2017-12,day-to-day,concussion,3,12/8/2015,12/9/2015,1,2,Saturday
12/13/2017,Magic,Aaron Gordon,Aaron Gordon,placed on IL with concussion,,2017,December,2017-12,concussion protocol,concussion,7,12/8/2015,12/9/2015,1,2,Wednesday
12/16/2017,Magic,Aaron Gordon,Aaron Gordon,strained right calf (DTD),,2017,December,2017-12,day-to-day,calf,3,12/8/2015,12/9/2015,1,2,Saturday
12/17/2017,Magic,Aaron Gordon,Aaron Gordon,placed on IL with strained right calf (DTD),,2017,December,2017-12,day-to-day,calf,3,12/8/2015,12/9/2015,1,2,Sunday
1/30/2018,Magic,Aaron Gordon,Aaron Gordon,strained left hip flexor (DTD),,2018,January,2018-01,day-to-day,hip,3,12/8/2015,12/9/2015,1,2,Tuesday
3/9/2018,Magic,Aaron Gordon,Aaron Gordon,concussion (DTD),,2018,March,2018-03,day-to-day,concussion,3,12/8/2015,12/9/2015,1,2,Friday
4/6/2018,Magic,Aaron Gordon,Aaron Gordon,sore right calf (DTD),,2018,April,2018-04,day-to-day,calf,3,12/8/2015,12/9/2015,1,2,Friday
11/11/2018,Magic,Aaron Gordon,Aaron Gordon,placed on IL with sprained left ankle,,2018,November,2018-11,other / unspecified,ankle,,12/8/2015,12/9/2015,1,2,Sunday
11/28/2018,Magic,Aaron Gordon,Aaron Gordon,placed on IL with tightness in lower back,,2018,November,2018-11,other / unspecified,back,,12/8/2015,12/9/2015,1,2,Wednesday
1/19/2019,Magic,Aaron Gordon,Aaron Gordon,sore lower back (DTD),,2019,January,2019-01,day-to-day,back,3,12/8/2015,12/9/2015,1,2,Saturday
1/21/2019,Magic,Aaron Gordon,Aaron Gordon,placed on IL with sore lower back,,2019,January,2019-01,other / unspecified,back,,12/8/2015,12/9/2015,1,2,Monday
11/21/2019,Magic,Aaron Gordon,Aaron Gordon,bruised right ankle (out indefinitely),,2019,November,2019-11,indefinitely,ankle,30,12/8/2015,12/9/2015,1,2,Thursday
11/23/2019,Magic,Aaron Gordon,Aaron Gordon,placed on IL with bruised right ankle,,2019,November,2019-11,other / unspecified,ankle,,12/8/2015,12/9/2015,1,2,Saturday
12/30/2019,Magic,Aaron Gordon,Aaron Gordon,placed on IL with left Achilles injury,,2019,December,2019-12,other / unspecified,achilles,,12/8/2015,12/9/2015,1,2,Monday
1/10/2020,Magic,Aaron Gordon,Aaron Gordon,placed on IL with right calf injury,,2020,January,2020-01,other / unspecified,calf,,12/8/2015,12/9/2015,1,2,Friday
3/2/2020,Magic,Aaron Gordon,Aaron Gordon,placed on IL with right knee inflammation,,2020,March,2020-03,other / unspecified,knee,,12/8/2015,12/9/2015,1,2,Monday
8/7/2020,Magic,Aaron Gordon,Aaron Gordon,placed on IL with strained left hamstring (out for season),,2020,August,2020-08,out for season,hamstring,180,12/8/2015,12/9/2015,1,2,Friday
1/8/2021,Magic,Aaron Gordon,Aaron Gordon,left hamstring injury (DTD),,2021,January,2021-01,day-to-day,hamstring,3,12/8/2015,12/9/2015,1,2,Friday
1/24/2021,Magic,Aaron Gordon,Aaron Gordon,hip injury (DTD),,2021,January,2021-01,day-to-day,hip,3,12/8/2015,12/9/2015,1,2,Sunday
2/1/2021,Magic,Aaron Gordon,Aaron Gordon,placed on IL with sprained left ankle,,2021,February,2021-02,other / unspecified,ankle,,12/8/2015,12/9/2015,1,2,Monday
3/12/2021,Magic,Aaron Gordon,Aaron Gordon,left ankle injury (DTD),,2021,March,2021-03,day-to-day,ankle,3,12/8/2015,12/9/2015,1,2,Friday
3/26/2021,Nuggets,Aaron Gordon,Aaron Gordon,placed on IL with NBA health and safety protocols,,2021,March,2021-03,other / unspecified,Other,,3/26/2021,3/28/2021,2,3,Friday
5/8/2021,Nuggets,Aaron Gordon,Aaron Gordon,right calf injury (DTD),,2021,May,2021-05,day-to-day,calf,3,3/26/2021,3/28/2021,2,3,Saturday
