Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2019-03-16,Nets,,,,activated from IL,
2021-12-07,Blazers,,,,collapsed right lung (out indefinitely),
2024-06-28,Pacers,,,,,
2024-12-23,,,,,,
2025-04-02,Knicks,,,,activated from IL,
2015-10-27,Pelicans,Alex Ajinca,Alex Ajinca,,returned to lineup,
2015-12-18,Pelicans,Alex Ajinca,,Alex Ajinca,calf injury (DTD),
2015-12-20,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL with calf injury,
2015-12-28,Pelicans,Alex Ajinca,Alex Ajinca,,activated from IL,8.0
2016-03-03,Pelicans,Alex Ajinca,,Alex Ajinca,fractured sternum (DTD),
2016-03-20,Pelicans,Alex Ajinca,Alex Ajinca,,returned to lineup,17.0
2016-04-11,Pelicans,Alex Ajinca,,Alex Ajinca,right shoulder injury (out for season),
2016-11-17,Pelicans,Alex Ajinca,,Alex Ajinca,strained left shoulder (DTD),
2016-11-27,Pelicans,Alex Ajinca,Alex Ajinca,,returned to lineup,10.0
2017-01-14,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL,
2017-01-16,Pelicans,Alex Ajinca,Alex Ajinca,,activated from IL,2.0
2017-01-20,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL,
2017-01-23,Pelicans,Alex Ajinca,Alex Ajinca,,activated from IL,3.0
2017-03-31,Pelicans,Alex Ajinca,,Alex Ajinca,hip injury (DTD),
2017-04-02,Pelicans,Alex Ajinca,Alex Ajinca,,returned to lineup,2.0
2017-10-17,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL with sore right knee,
2017-12-07,Pelicans,Alex Ajinca,,Alex Ajinca,surgery on right knee (out indefinitely),
2018-03-27,Pelicans,Alex Ajinca,,Alex Ajinca,surgery on left knee (out for season),
2018-04-14,Pelicans,Alex Ajinca,,Alex Ajinca,placed on IL with right knee injury (out for season),
2015-10-28,Heat,Amar'e Stoudemire,,Amar'e Stoudemire,placed on IL with rehab of knee,
2015-10-30,Heat,Amar'e Stoudemire,Amar'e Stoudemire,,activated from IL,2.0
2015-11-03,Heat,Amar'e Stoudemire,,Amar'e Stoudemire,placed on IL with rehab of knee,
2015-11-05,Heat,Amar'e Stoudemire,Amar'e Stoudemire,,activated from IL,2.0
2015-11-21,Heat,Amar'e Stoudemire,,Amar'e Stoudemire,placed on IL,
2015-11-23,Heat,Amar'e Stoudemire,,Amar'e Stoudemire,illness (DTD) (Y),
2015-11-27,Heat,Amar'e Stoudemire,Amar'e Stoudemire,,activated from IL (P),4.0
2015-11-30,Heat,Amar'e Stoudemire,,Amar'e Stoudemire,placed on IL,
2015-12-11,Heat,Amar'e Stoudemire,Amar'e Stoudemire,,activated from IL,11.0
2021-10-29,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL,
2021-11-01,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,3.0
2021-11-26,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL,
2021-11-29,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,3.0
2021-12-29,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL with NBA health and safety protocols,
2022-01-06,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,8.0
2022-03-25,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL with illness,
2022-04-04,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,10.0
2023-03-08,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL with tailbone injury,
2023-04-01,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,24.0
2023-10-25,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,quadriceps injury (DTD),
2023-12-11,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,returned to lineup,47.0
2023-12-12,Clippers,B.J. Boston Jr.,,B.J. Boston Jr.,illness (DTD),
2023-12-14,Clippers,B.J. Boston Jr.,B.J. Boston Jr.,,returned to lineup,2.0
2025-02-10,Pelicans,B.J. Boston Jr.,,B.J. Boston Jr.,placed on IL with ankle injury,
2025-03-04,Pelicans,B.J. Boston Jr.,B.J. Boston Jr.,,activated from IL,22.0
2025-03-07,Pelicans,B.J. Boston Jr.,,B.J. Boston Jr.,ankle injury (out indefinitely),
2018-03-27,Heat,Bam Adebayo,,Bam Adebayo,sprained right ankle (DTD),
2018-03-27,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with sprained right ankle,
2018-03-29,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,2.0
2020-08-14,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with sore right knee,
2020-08-18,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,4.0
2020-09-30,Heat,Bam Adebayo,,Bam Adebayo,strained left shoulder (DTD),
2020-10-02,Heat,Bam Adebayo,,Bam Adebayo,strained neck (DTD),
2020-10-06,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,4.0
2021-01-11,Heat,Bam Adebayo,,Bam Adebayo,NBA health and safety protocols (DTD),
2021-01-16,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,5.0
2021-03-04,Heat,Bam Adebayo,,Bam Adebayo,left knee tendinitis (DTD),
2021-03-16,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,12.0
2021-04-19,Heat,Bam Adebayo,,Bam Adebayo,sore right knee (DTD),
2021-04-21,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,2.0
2021-10-30,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised left knee,
2021-11-02,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,3.0
2021-11-15,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised left knee,
2021-11-18,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,3.0
2021-12-01,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with surgery on right thumb to repair torn ligament,
2022-01-17,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,47.0
2022-04-10,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with NBA health and safety protocols,
2022-04-16,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,6.0
2022-11-16,Heat,Bam Adebayo,,Bam Adebayo,bruised left knee (DTD),
2022-11-20,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,4.0
2022-12-15,Heat,Bam Adebayo,,Bam Adebayo,sprained left ankle (DTD),
2022-12-17,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,2.0
2022-12-26,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with illness,
2022-12-28,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,2.0
2023-01-10,Heat,Bam Adebayo,,Bam Adebayo,right wrist injury (DTD),
2023-01-12,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,2.0
2023-04-01,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised right hip,
2023-04-04,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,3.0
2023-04-07,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with strained left quadriceps,
2023-04-09,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,2.0
2023-10-30,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with hip injury,
2023-11-01,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,2.0
2023-11-22,Heat,Bam Adebayo,,Bam Adebayo,bruised hip (DTD),
2023-11-24,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,2.0
2023-11-25,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised/sore left hip,
2023-11-28,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,3.0
2023-12-01,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised left hip,
2023-12-17,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,16.0
2024-03-20,Heat,Bam Adebayo,,Bam Adebayo,placed on IL with bruised lower back,
2024-03-22,Heat,Bam Adebayo,Bam Adebayo,,activated from IL,2.0
2025-01-13,Heat,Bam Adebayo,,Bam Adebayo,bruised lower back (DTD),
2025-01-15,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,2.0
2025-02-13,Heat,Bam Adebayo,,Bam Adebayo,bruised left knee (DTD),
2025-02-20,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,7.0
2025-04-07,Heat,Bam Adebayo,,Bam Adebayo,back injury (DTD),
2025-04-08,Heat,Bam Adebayo,Bam Adebayo,,returned to lineup,1.0
2017-10-18,Nets,Billy Ouattara,,Billy Ouattara,placed on IL,
2017-12-09,Nets,Billy Ouattara,,Billy Ouattara,sore left leg (DTD),
2021-11-22,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with sprained right ankle,
2021-11-29,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,7.0
2021-12-01,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with NBA health and safety protocols,
2021-12-08,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,7.0
2021-12-30,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with NBA health and safety protocols,
2022-01-03,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,4.0
2022-01-23,Nuggets,Bones Hyland,,Bones Hyland,illness (DTD),
2022-01-24,Nuggets,Bones Hyland,Bones Hyland,,returned to lineup,1.0
2022-03-09,Nuggets,Bones Hyland,,Bones Hyland,sore right knee (DTD),
2022-03-10,Nuggets,Bones Hyland,Bones Hyland,,returned to lineup,1.0
2022-10-30,Nuggets,Bones Hyland,,Bones Hyland,hip injury (DTD),
2022-11-13,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with illness,
2022-11-16,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,3.0
2022-11-23,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with illness,
2022-11-30,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,7.0
2023-01-24,Nuggets,Bones Hyland,,Bones Hyland,placed on IL with finger injury,
2023-01-25,Nuggets,Bones Hyland,Bones Hyland,,activated from IL,1.0
2023-12-11,Clippers,Bones Hyland,,Bones Hyland,placed on IL with strained right shoulder,
2023-12-12,Clippers,Bones Hyland,Bones Hyland,,activated from IL,1.0
2023-12-16,Clippers,Bones Hyland,,Bones Hyland,placed on IL with sore right knee,
